EmployeeID,Age,Gender,MaritalStatus,DistanceFromHome,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,PerformanceRating,JobSatisfaction,WorkLifeBalance,TrainingHours,Overtime,Attrition
EMP0049,18,Female,Married,23,Finance,Financial Analyst,1,2566,0,0,0,3,3,3,54,No,1
EMP0050,34,Male,Married,4,HR,HR Manager,2,6860,8,2,1,3,2,3,48,No,0
EMP0051,37,Female,Married,17,Finance,Financial Analyst,2,6224,1,1,1,3,1,1,24,Yes,1
EMP0052,35,Male,Single,16,Finance,Financial Analyst,2,6198,13,10,13,4,1,3,32,No,1
EMP0053,28,Female,Married,23,Finance,Financial Analyst,2,6666,8,0,7,3,3,3,30,Yes,1
EMP0054,50,Male,Divorced,28,Finance,Financial Analyst,3,8384,11,9,7,4,1,2,27,Yes,1
EMP0055,49,Male,Single,21,HR,HR Manager,3,8636,0,0,0,4,1,2,17,No,1
EMP0056,27,Female,Divorced,10,Sales,Account Manager,2,5967,3,3,1,4,2,4,42,Yes,1
EMP0057,44,Female,Divorced,9,IT,Data Scientist,4,12611,15,4,14,4,3,3,45,No,0
EMP0058,30,Male,Divorced,13,HR,Recruiter,1,3151,11,7,11,4,4,2,41,Yes,0
EMP0059,39,Male,Married,4,Finance,Accountant,4,12295,13,13,10,3,1,3,60,No,1
EMP0060,59,Male,Married,28,Finance,Financial Analyst,5,18971,15,1,2,3,4,3,24,Yes,0
EMP0061,58,Male,Married,6,Sales,Sales Executive,3,8664,1,1,1,3,4,2,25,No,0
EMP0062,28,Male,Single,20,Finance,Finance Manager,1,3519,9,2,3,4,4,3,39,No,0
EMP0063,47,Female,Divorced,18,HR,HR Specialist,4,13935,11,9,4,4,4,3,39,No,0
EMP0064,48,Male,Single,13,Sales,Sales Representative,4,13432,9,0,6,3,1,4,53,Yes,1
EMP0065,36,Male,Divorced,26,Sales,Sales Executive,4,12389,8,2,1,3,3,3,12,No,1
EMP0066,36,Female,Divorced,14,HR,HR Specialist,2,6610,11,8,8,3,2,3,40,No,0
EMP0067,25,Female,Single,5,HR,HR Manager,2,6980,5,0,3,3,3,4,17,No,0
EMP0068,34,Female,Divorced,12,IT,DevOps Engineer,3,8051,10,9,3,3,4,3,54,No,0
EMP0069,20,Male,Married,16,IT,Software Engineer,1,2980,2,0,1,4,3,4,36,Yes,1
EMP0070,49,Female,Married,2,Sales,Sales Executive,4,12910,7,5,1,3,4,3,13,No,0
EMP0071,47,Male,Divorced,7,IT,Software Engineer,4,12498,4,4,1,3,4,2,47,Yes,1
EMP0072,27,Male,Married,28,HR,HR Specialist,2,6635,2,0,2,3,2,1,32,Yes,1
EMP0073,34,Male,Single,24,Finance,Finance Manager,2,6527,2,1,1,3,4,4,16,No,0
EMP0074,20,Female,Married,21,IT,Software Engineer,1,3480,1,1,0,4,4,3,14,Yes,1
EMP0075,26,Female,Divorced,21,Sales,Account Manager,2,5929,8,6,1,3,4,4,56,Yes,0
EMP0076,44,Female,Married,13,Finance,Finance Manager,2,5640,13,5,10,3,3,2,53,No,0
EMP0077,23,Female,Single,24,Sales,Sales Executive,1,3639,0,0,0,3,4,1,36,No,0
EMP0078,45,Male,Married,20,Sales,Account Manager,3,9183,6,1,5,4,2,1,32,No,1
EMP0079,32,Female,Divorced,25,IT,Data Scientist,2,5369,4,2,2,3,1,2,19,No,1
EMP0080,19,Male,Divorced,17,HR,Recruiter,1,3359,1,1,0,3,3,3,59,Yes,1
EMP0081,57,Male,Divorced,3,Sales,Account Manager,5,18368,15,14,13,3,2,4,17,No,0
EMP0082,55,Female,Divorced,22,Sales,Sales Executive,3,8809,1,0,0,3,2,2,58,No,0
EMP0083,49,Female,Single,5,Finance,Finance Manager,5,17971,11,1,6,3,4,1,39,Yes,1
EMP0084,54,Female,Divorced,21,Finance,Financial Analyst,3,8829,0,0,0,3,2,4,39,No,0
EMP0085,33,Female,Divorced,13,IT,IT Support,3,9527,10,3,5,3,1,4,50,Yes,1
EMP0086,40,Female,Divorced,27,HR,HR Specialist,2,5299,8,3,2,3,4,1,21,No,1
EMP0087,55,Female,Divorced,30,Sales,Sales Representative,4,12309,14,1,7,4,4,3,60,No,0
EMP0088,22,Female,Married,15,IT,Software Engineer,1,3255,2,0,2,3,4,4,42,No,0
EMP0089,20,Female,Divorced,21,HR,Recruiter,1,3739,1,0,0,4,1,3,55,Yes,1
EMP0090,33,Female,Married,17,HR,Recruiter,3,9879,9,6,6,3,4,4,13,No,0
EMP0091,42,Female,Married,24,HR,Recruiter,2,6193,4,2,2,4,2,4,55,Yes,1
EMP0092,39,Male,Divorced,23,IT,IT Support,4,12741,0,0,0,3,3,2,23,No,0
EMP0093,32,Male,Single,3,Sales,Sales Executive,4,13578,8,8,0,3,4,2,48,No,0
EMP0094,57,Male,Divorced,15,IT,IT Support,4,13385,7,7,4,4,2,4,25,No,0
EMP0095,30,Female,Divorced,19,Finance,Financial Analyst,2,6593,6,4,4,4,2,2,48,Yes,1
EMP0096,48,Female,Divorced,30,IT,Software Engineer,4,12171,5,2,3,3,4,1,24,No,0
EMP0097,44,Male,Married,17,Sales,Sales Executive,3,8167,11,3,0,3,1,3,60,Yes,1
EMP0098,48,Male,Divorced,16,Finance,Finance Manager,3,9855,2,0,1,3,2,4,56,No,0
EMP0099,37,Male,Single,8,Finance,Finance Manager,4,12936,2,0,1,3,4,4,46,Yes,0
EMP0100,18,Female,Single,19,Finance,Accountant,1,3860,0,0,0,3,4,3,14,Yes,1
EMP0101,58,Female,Married,9,IT,Data Scientist,3,8706,7,1,5,3,1,3,44,No,1
EMP0102,47,Female,Divorced,6,HR,HR Specialist,5,19089,14,0,4,3,1,2,12,No,1
EMP0103,52,Female,Married,2,HR,Recruiter,4,13765,1,1,1,3,3,3,35,No,0
EMP0104,29,Female,Divorced,16,Sales,Sales Representative,2,6640,1,1,0,4,4,2,44,No,0
EMP0105,60,Female,Married,15,Finance,Accountant,5,18409,11,7,0,3,4,3,27,Yes,0
EMP0106,41,Male,Single,5,Finance,Accountant,2,5137,7,5,5,4,4,1,48,Yes,0
EMP0107,41,Female,Single,19,HR,HR Manager,3,8815,10,10,4,3,1,1,57,Yes,1
EMP0108,53,Male,Married,25,Sales,Sales Representative,4,12439,9,7,3,3,2,1,38,Yes,1
EMP0109,23,Female,Divorced,12,IT,Data Scientist,1,4325,2,0,2,3,3,4,24,Yes,0
EMP0110,33,Female,Single,12,Sales,Account Manager,4,12265,2,0,1,4,4,3,43,No,0
EMP0111,22,Male,Married,21,IT,IT Support,1,3454,4,2,1,3,2,3,42,Yes,1
EMP0112,37,Male,Single,11,HR,Recruiter,4,13832,9,1,4,3,4,4,27,Yes,1
EMP0113,23,Male,Divorced,19,HR,HR Specialist,1,3849,4,4,2,3,1,1,12,No,1
EMP0114,44,Male,Married,29,Sales,Sales Representative,3,8989,7,6,4,4,1,1,20,No,1
EMP0115,39,Male,Married,28,Sales,Sales Representative,3,9997,12,2,12,3,4,4,16,No,0
EMP0116,46,Male,Single,4,IT,Data Scientist,4,13769,13,3,13,3,3,4,56,No,0
EMP0117,50,Female,Married,29,Sales,Account Manager,3,8184,12,8,7,3,2,4,32,Yes,1
EMP0118,59,Female,Married,18,IT,Software Engineer,4,12274,8,5,6,3,1,3,13,Yes,1
EMP0119,42,Female,Divorced,9,IT,DevOps Engineer,2,5806,11,5,8,3,2,2,48,No,1
EMP0120,26,Female,Married,17,Finance,Accountant,1,3171,5,1,3,3,4,3,42,No,0
EMP0121,19,Female,Married,22,IT,IT Support,1,3695,1,0,1,3,4,4,46,Yes,1
EMP0122,28,Female,Single,27,HR,HR Specialist,1,2890,0,0,0,4,3,3,19,No,1
EMP0123,57,Female,Divorced,24,IT,DevOps Engineer,5,17924,10,10,7,4,3,2,39,No,1
EMP0124,59,Female,Divorced,16,HR,HR Specialist,4,13142,9,3,4,3,4,2,54,No,0
EMP0125,35,Female,Single,19,Finance,Financial Analyst,3,9955,4,2,0,3,4,1,32,No,0
EMP0126,31,Male,Divorced,9,Sales,Sales Executive,1,3760,11,9,3,3,1,4,24,Yes,1
EMP0127,48,Male,Divorced,25,HR,HR Specialist,5,19402,5,3,5,4,4,2,58,No,0
EMP0128,23,Male,Divorced,24,IT,DevOps Engineer,1,3355,1,0,1,4,2,3,12,Yes,1
EMP0129,39,Female,Married,21,Finance,Accountant,4,12958,8,3,1,3,2,3,51,No,1
EMP0130,39,Female,Divorced,22,HR,HR Specialist,4,13753,12,6,8,3,1,3,52,Yes,1
EMP0131,38,Male,Single,9,Finance,Accountant,3,9543,8,5,4,3,3,3,54,Yes,1
EMP0132,37,Male,Married,22,Sales,Sales Representative,2,6308,9,5,9,3,2,2,40,Yes,0
EMP0133,41,Female,Divorced,18,Finance,Finance Manager,4,13690,6,6,1,3,4,3,43,No,0
EMP0134,21,Male,Divorced,18,HR,HR Specialist,1,3171,3,0,1,4,1,4,38,Yes,1
EMP0135,47,Male,Divorced,15,Sales,Sales Representative,3,8810,8,0,3,3,1,3,32,Yes,1
EMP0136,22,Female,Single,10,Finance,Accountant,1,4074,1,1,1,4,4,3,34,Yes,1
EMP0137,52,Male,Divorced,28,Sales,Sales Executive,3,9100,12,8,2,3,1,1,29,No,1
EMP0138,52,Female,Single,8,Finance,Financial Analyst,3,8564,6,5,6,3,1,3,49,Yes,1
EMP0139,56,Male,Married,20,IT,DevOps Engineer,5,17590,12,7,3,3,1,2,42,No,0
EMP0140,54,Female,Divorced,20,Sales,Sales Executive,4,13794,4,4,1,4,3,3,13,Yes,0
EMP0141,49,Male,Married,21,Finance,Finance Manager,4,13426,13,6,2,3,4,2,58,No,0
EMP0142,27,Female,Single,18,Finance,Financial Analyst,1,3295,3,2,1,3,4,1,38,No,1
EMP0143,30,Male,Married,13,IT,Software Engineer,1,4147,12,9,11,3,4,2,31,No,1
EMP0144,30,Male,Divorced,25,Finance,Accountant,1,3312,3,2,2,4,4,4,51,No,0
EMP0145,49,Female,Single,26,Finance,Financial Analyst,3,8759,10,6,0,3,4,2,11,No,0
EMP0146,44,Female,Single,7,Sales,Sales Executive,3,9166,7,7,5,3,4,3,39,Yes,1
EMP0147,26,Female,Single,30,IT,Software Engineer,1,4435,0,0,0,3,4,2,50,Yes,1
EMP0148,31,Female,Married,2,Finance,Finance Manager,2,5032,0,0,0,4,1,1,43,No,1
EMP0149,50,Female,Single,4,IT,DevOps Engineer,3,8393,8,5,4,4,1,3,35,No,0
EMP0150,32,Female,Divorced,27,IT,Software Engineer,2,5830,6,3,4,4,1,1,54,Yes,1
EMP0151,59,Female,Divorced,28,IT,Software Engineer,3,8432,15,8,1,3,4,3,44,Yes,1
EMP0152,19,Male,Divorced,5,Finance,Accountant,1,3112,0,0,0,3,4,3,53,No,0
EMP0153,23,Female,Single,4,Finance,Accountant,1,4217,0,0,0,3,4,4,48,No,0
EMP0154,58,Female,Married,16,HR,Recruiter,5,19427,12,6,2,4,1,4,28,Yes,1
EMP0155,27,Female,Divorced,26,HR,HR Manager,2,5648,5,0,0,3,3,3,33,No,0
EMP0156,45,Female,Divorced,18,Finance,Accountant,3,8183,11,8,1,3,4,1,28,No,0
EMP0157,53,Male,Divorced,17,HR,HR Manager,4,12347,4,2,2,3,4,2,14,Yes,1
EMP0158,48,Male,Married,9,HR,HR Manager,5,18515,6,3,0,3,3,1,35,No,0
EMP0159,39,Female,Married,14,HR,Recruiter,3,9235,6,3,2,3,4,3,28,No,0
EMP0160,38,Female,Married,27,Finance,Financial Analyst,2,6908,6,4,4,3,4,4,11,No,0
EMP0161,36,Male,Married,22,Finance,Accountant,4,12620,7,4,2,4,4,1,38,No,1
EMP0162,44,Male,Married,23,IT,Software Engineer,2,6346,11,2,10,3,4,3,58,No,0
EMP0163,18,Male,Married,8,HR,Recruiter,1,3266,0,0,0,4,4,4,54,Yes,1
EMP0164,24,Female,Married,30,IT,Software Engineer,1,4202,5,1,2,3,3,3,60,Yes,1
EMP0165,24,Female,Divorced,23,Finance,Financial Analyst,1,2637,2,0,2,3,1,3,51,Yes,1
EMP0166,33,Male,Divorced,6,Sales,Sales Representative,3,9962,14,3,12,4,4,2,21,No,0
EMP0167,30,Female,Divorced,14,Finance,Accountant,1,2921,4,0,4,3,4,2,33,No,1
EMP0168,60,Female,Divorced,21,Sales,Sales Representative,4,13251,12,9,1,3,3,3,49,Yes,0
EMP0169,37,Male,Divorced,5,Sales,Sales Executive,2,5625,3,1,2,3,4,3,36,Yes,0
EMP0170,49,Male,Divorced,6,Finance,Financial Analyst,3,8383,10,7,9,3,3,1,41,Yes,1
EMP0171,53,Female,Married,22,Finance,Financial Analyst,5,19220,14,7,2,3,4,1,60,Yes,1
EMP0172,52,Female,Single,25,Finance,Finance Manager,5,19082,15,3,3,3,4,3,44,Yes,1
EMP0173,31,Female,Single,24,HR,Recruiter,1,3421,4,2,0,4,1,2,23,No,1
EMP0174,45,Male,Divorced,5,HR,HR Specialist,3,9167,11,8,4,3,3,3,28,No,0
EMP0175,24,Male,Married,30,IT,Data Scientist,1,4275,5,1,5,3,2,2,55,No,1
EMP0176,43,Female,Single,19,Sales,Sales Representative,3,8768,14,1,10,3,4,4,57,No,0
EMP0177,47,Female,Married,19,IT,Software Engineer,5,19490,14,10,10,3,1,4,35,Yes,1
EMP0178,49,Female,Married,27,Sales,Account Manager,5,18683,4,4,3,3,4,1,12,Yes,1
EMP0179,19,Male,Single,15,Finance,Accountant,1,4462,1,0,0,3,2,3,15,No,0
EMP0180,59,Male,Single,13,Sales,Sales Representative,5,19046,7,6,1,3,1,2,40,Yes,1
EMP0181,46,Male,Single,23,Sales,Sales Executive,4,13421,4,3,0,3,4,1,56,Yes,1
EMP0182,37,Male,Married,25,HR,HR Manager,4,12292,2,2,2,3,4,2,38,No,0
EMP0183,27,Female,Divorced,22,Finance,Accountant,1,4336,1,0,0,4,3,3,30,Yes,1
EMP0184,33,Female,Divorced,1,Sales,Sales Executive,4,13242,6,5,3,3,4,1,60,Yes,1
EMP0185,49,Male,Divorced,29,IT,Data Scientist,4,12270,12,9,6,3,4,2,58,No,1
EMP0186,19,Male,Single,9,HR,HR Specialist,1,4389,0,0,0,4,4,3,50,No,0
EMP0187,58,Male,Married,3,Sales,Sales Executive,5,19386,6,6,1,3,4,4,50,Yes,0
EMP0188,33,Male,Single,3,Finance,Accountant,3,9253,1,1,0,3,1,2,54,Yes,0
EMP0189,51,Female,Single,12,HR,HR Manager,4,13501,3,0,2,4,3,4,14,No,0
EMP0190,22,Female,Married,17,Sales,Sales Executive,1,3523,4,1,2,3,3,1,46,Yes,1
EMP0191,20,Male,Single,2,Finance,Financial Analyst,1,3284,0,0,0,3,1,4,55,No,1
EMP0192,38,Female,Single,19,Sales,Sales Executive,4,13378,1,0,0,3,4,1,39,No,0
EMP0193,23,Female,Single,12,HR,Recruiter,1,3654,2,2,2,3,4,3,47,No,0
EMP0194,52,Male,Single,1,Finance,Accountant,3,9109,11,10,11,3,3,1,58,No,1
EMP0195,24,Male,Divorced,8,Finance,Financial Analyst,1,4468,0,0,0,3,4,3,15,Yes,0
EMP0196,51,Female,Divorced,29,Sales,Account Manager,5,17673,3,1,3,3,4,4,13,No,0
EMP0197,36,Female,Married,30,Finance,Finance Manager,4,12668,10,7,4,3,1,2,18,Yes,1
EMP0198,47,Female,Married,4,Sales,Sales Executive,4,12631,14,4,13,3,1,2,53,No,1
EMP0199,20,Male,Married,5,IT,DevOps Engineer,1,4483,1,1,0,3,3,2,11,No,0
EMP0200,53,Male,Single,15,IT,DevOps Engineer,3,8024,1,0,0,3,4,3,53,Yes,1
EMP0201,22,Male,Single,7,Finance,Accountant,1,2688,2,0,0,4,1,2,46,No,1
EMP0202,19,Female,Divorced,14,HR,Recruiter,1,2939,0,0,0,3,3,3,19,Yes,1
EMP0203,59,Female,Married,14,Finance,Accountant,3,8572,12,2,6,3,4,4,25,Yes,1
EMP0204,40,Female,Divorced,26,Finance,Financial Analyst,4,13028,10,6,4,3,1,3,48,Yes,1
EMP0205,35,Male,Married,17,Sales,Sales Representative,2,6994,5,0,1,3,3,4,60,Yes,0
EMP0206,54,Female,Married,30,HR,HR Specialist,3,9213,10,5,9,3,4,3,46,Yes,1
EMP0207,49,Female,Single,16,IT,Software Engineer,3,8476,7,0,7,3,3,4,22,Yes,1
EMP0208,38,Male,Single,5,HR,HR Specialist,4,13762,11,1,5,4,4,1,31,No,0
EMP0209,45,Female,Divorced,11,HR,HR Manager,5,18920,11,3,10,3,4,3,56,No,0
EMP0210,54,Female,Divorced,2,HR,HR Manager,4,13886,7,1,7,3,3,1,25,No,0
EMP0211,23,Female,Married,1,Sales,Sales Executive,1,3011,5,0,2,3,1,1,13,No,1
EMP0212,28,Female,Married,29,Finance,Financial Analyst,2,5207,7,3,2,4,1,1,28,Yes,0
EMP0213,22,Female,Single,29,Finance,Accountant,1,3999,0,0,0,3,3,4,49,No,1
EMP0214,59,Male,Divorced,29,Finance,Accountant,3,8207,10,3,3,4,4,4,56,No,0
EMP0215,24,Male,Married,19,Finance,Accountant,1,2611,2,0,1,3,3,4,40,Yes,1
EMP0216,58,Female,Single,16,IT,Data Scientist,4,12964,15,8,2,4,2,3,34,No,1
EMP0217,46,Female,Married,8,Sales,Sales Representative,3,8309,3,0,2,4,4,2,45,Yes,1
EMP0218,44,Female,Divorced,29,HR,Recruiter,3,8161,12,11,0,3,1,3,21,Yes,1
EMP0219,26,Male,Married,3,Finance,Accountant,1,4208,4,2,0,3,4,4,35,No,0
EMP0220,18,Female,Single,14,HR,HR Specialist,1,3660,0,0,0,3,1,4,59,Yes,1
EMP0221,40,Female,Married,13,Finance,Finance Manager,4,12968,1,0,1,4,2,4,48,No,0
EMP0222,39,Male,Single,24,Finance,Financial Analyst,3,8041,10,4,4,3,4,1,24,Yes,1
EMP0223,38,Female,Divorced,14,IT,DevOps Engineer,3,8432,13,11,7,3,1,4,60,Yes,1
EMP0224,43,Male,Divorced,29,IT,DevOps Engineer,2,6792,6,6,0,3,1,3,13,No,0
EMP0225,47,Female,Divorced,30,IT,Software Engineer,3,8762,15,14,5,4,4,4,32,No,0
EMP0226,23,Female,Single,13,IT,DevOps Engineer,1,4248,4,1,1,3,4,2,27,No,0
EMP0227,18,Female,Single,21,HR,HR Manager,1,4140,0,0,0,3,2,3,48,No,1
EMP0228,35,Female,Married,28,Sales,Account Manager,3,8446,14,4,10,4,4,1,10,No,1
EMP0229,36,Female,Divorced,4,Finance,Accountant,3,8566,10,4,4,3,2,2,43,Yes,1
EMP0230,56,Female,Divorced,11,HR,HR Manager,3,9342,15,9,8,4,4,3,57,Yes,0
EMP0231,30,Female,Divorced,23,HR,HR Manager,2,6856,10,5,8,3,2,4,21,No,0
EMP0232,34,Male,Divorced,29,Sales,Sales Representative,2,5455,11,3,11,3,4,3,33,No,0
EMP0233,25,Female,Single,28,IT,IT Support,1,3524,1,1,1,4,1,2,18,Yes,0
EMP0234,47,Male,Married,28,HR,HR Specialist,4,12681,5,2,5,3,1,3,27,Yes,1
EMP0235,28,Female,Single,5,Finance,Finance Manager,2,5826,6,3,3,3,1,4,22,No,0
EMP0236,51,Male,Single,22,IT,DevOps Engineer,3,9420,11,4,2,3,4,4,47,No,0
EMP0237,37,Female,Married,24,Sales,Account Manager,4,12274,10,7,5,3,2,3,11,Yes,0
EMP0238,31,Male,Divorced,17,HR,HR Specialist,2,6456,10,0,6,3,4,4,13,Yes,1
EMP0239,19,Male,Divorced,4,Finance,Financial Analyst,1,3278,0,0,0,3,4,2,23,Yes,1
EMP0240,60,Female,Divorced,20,HR,Recruiter,3,9047,3,2,0,3,4,2,48,Yes,1
EMP0241,30,Female,Divorced,14,Sales,Sales Executive,1,3622,7,3,7,3,2,1,10,Yes,1
EMP0242,60,Female,Single,3,IT,Software Engineer,4,13319,7,7,4,3,4,1,16,Yes,1
EMP0243,41,Female,Married,24,IT,Software Engineer,2,5019,4,1,2,3,4,4,27,Yes,1
EMP0244,25,Female,Married,15,Sales,Account Manager,2,6638,6,5,6,3,1,2,54,Yes,1
EMP0245,24,Female,Divorced,16,Finance,Accountant,1,3751,3,2,0,3,4,3,17,No,1
EMP0246,59,Female,Single,23,HR,HR Manager,4,13063,3,3,1,4,3,3,19,Yes,0
EMP0247,50,Female,Married,28,HR,HR Specialist,4,12656,7,5,4,3,4,2,45,No,1
EMP0248,47,Female,Divorced,15,IT,IT Support,4,12647,3,3,0,3,4,3,12,Yes,0
EMP0249,57,Female,Divorced,18,HR,HR Manager,5,18434,10,5,0,3,4,3,45,No,0
EMP0250,46,Male,Single,25,HR,HR Specialist,4,12727,9,8,8,3,4,1,12,Yes,1
EMP0251,44,Male,Married,20,HR,HR Specialist,2,6905,12,3,7,3,4,3,16,No,0
EMP0252,55,Male,Married,15,HR,Recruiter,3,9086,1,1,1,3,4,4,21,Yes,0
EMP0253,56,Female,Divorced,29,Finance,Financial Analyst,5,19375,7,4,6,3,3,3,18,Yes,1
EMP0254,50,Female,Divorced,18,Sales,Sales Representative,5,19415,6,1,1,3,4,3,53,Yes,0
EMP0255,29,Female,Divorced,4,Sales,Sales Representative,2,6193,9,6,8,3,4,1,43,Yes,1
EMP0256,60,Male,Single,9,HR,Recruiter,5,18013,4,0,2,3,4,1,32,No,0
EMP0257,53,Male,Divorced,21,Finance,Accountant,5,19106,9,0,6,4,4,3,45,Yes,1
EMP0258,57,Female,Single,30,Sales,Sales Representative,5,19012,6,6,5,3,3,3,21,Yes,1
EMP0259,50,Male,Married,2,Finance,Financial Analyst,5,18041,4,1,4,3,1,3,39,Yes,0
EMP0260,56,Male,Divorced,20,Sales,Account Manager,5,18626,11,1,11,3,4,2,21,Yes,1
EMP0261,52,Female,Single,12,HR,HR Specialist,5,18179,10,5,4,3,4,4,40,Yes,1
EMP0262,33,Male,Single,22,Sales,Account Manager,2,5790,8,8,4,3,4,3,42,No,0
EMP0263,59,Male,Married,17,IT,Software Engineer,3,9989,0,0,0,3,2,2,53,No,0
EMP0264,45,Male,Divorced,22,HR,HR Specialist,4,13468,10,0,1,3,1,2,60,No,1
EMP0265,32,Female,Married,13,Finance,Finance Manager,3,8886,5,0,3,3,4,1,51,Yes,1
EMP0266,22,Female,Divorced,4,Sales,Sales Representative,1,3117,4,0,2,4,4,3,52,Yes,1
EMP0267,26,Female,Divorced,10,HR,Recruiter,2,6960,0,0,0,3,1,1,10,No,0
EMP0268,37,Male,Divorced,24,Sales,Sales Executive,3,9854,4,1,1,3,4,3,22,Yes,0
EMP0269,21,Female,Divorced,18,IT,Data Scientist,1,3875,0,0,0,3,1,2,56,No,1
